restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,local address,city
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
House 24,Restaurant,"Biryani,Chinese,North Indian,Rolls,Kebab",3.9,700,Versova-- Andheri West,,Mumbai
Szechuan King,Restaurant,Chinese,2.9,800,Chandivali,,Mumbai
Pizza Wizza Bread N Cheese,Restaurant,Pizza,3.4,600,Mira Road,,Mumbai
The Bowl Box,Restaurant,"Asian,North Indian,Mediterranean",3.6,700,Dadar Shivaji Park,,Mumbai
Biryani Studio,Restaurant,"North Indian,Biryani",3.9,500,Andheri Lokhandwala-- Andheri West,,Mumbai
Fusion Tadka,Restaurant,"Healthy Food,Continental,Seafood,Biryani,North Indian,Chinese,Kebab,Thai",3.2,600,Khar,,Mumbai
Dad's Kitchen,Restaurant,"North Indian,Chinese",3.4,600,Near Andheri West Station,,Mumbai
Horn Ok Please,Restaurant,"North Indian,Chinese",2.4,600,Mulund West,,Mumbai
Ice N Rolls,Restaurant,Fast Food,2.6,600,Andheri Lokhandwala-- Andheri West,,Mumbai
Butter Chicken Story,Restaurant,"North Indian,Fast Food,Desserts,Kebab",4.1,600,Oshiwara-- Andheri West,,Mumbai
Pazza Pizza,Restaurant,"Cafe,European,Pizza",3.5,500,Malad West,,Mumbai
The Hungry Hog Deli,Restaurant,Cafe,3.4,500,Lower Parel,,Mumbai
Night & Diet,Restaurant,"Fast Food,Chinese,Pizza",3.4,300,Kharghar,,Mumbai
Craving Bite,Restaurant,"Fast Food,Pizza,Desserts",3.5,450,Powai,,Mumbai
24x7 Peninsula Delivery Kitchen,Restaurant,"North Indian,Chinese",3.6,550,The Peninsula Grand Hotel-- Sakinaka,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Sai Sneha,Restaurant,"North Indian,Malwani,Chinese",3.6,750,Airoli,,Mumbai
Leela Cakes And More,Restaurant,"Bakery,Desserts",3.7,400,Naupada-- Thane West,,Mumbai
Kumar Lunch Home,Restaurant,"North Indian,Chinese",3.4,1200,Chembur,,Mumbai
Yuvi Fine Dine,Restaurant,"North Indian,Chinese",3.6,600,Kopar Khairane,,Mumbai
Street Klub,Restaurant,Fast Food,3.5,350,Ulhasnagar,,Mumbai
99 China Cottage,Restaurant,"Chinese,Kebab",3.6,500,Mira Road,,Mumbai
Balaji Night Kitchen,Restaurant,"North Indian,Chinese,Fast Food",3.4,500,Oshiwara-- Andheri West,,Mumbai
Delux Kitchen,Restaurant,"North Indian,Chinese,Thai",3.3,400,Mira Road,,Mumbai
Dabbawala,Restaurant,"North Indian,Continental",3.5,600,Goregaon West,,Mumbai
The Comfort Zone,Restaurant,"Fast Food,Italian,Chinese,Burger,Pizza",3.9,300,Powai,,Mumbai
Bombay Dessert Company,Restaurant,"Desserts,Beverages,Ice Cream",3.8,400,Mahakali,,Mumbai
Pao Tastic,Restaurant,Fast Food,3.6,300,Chakala,,Mumbai
CurryVeda,Restaurant,"North Indian,Asian",3.2,500,Powai,,Mumbai
Dilawar Bhai's Biryani,Restaurant,Biryani,NEW,250,Powai,,Mumbai
Foodstix,Restaurant,"North Indian,Burger,Italian,Sandwich,Lebanese,Beverages",NEW,1700,Pali Hill-- Bandra West,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Treat Veg,Restaurant,"North Indian,Chinese",2.7,500,Chakala,,Mumbai
Galaxy Snacks Corner,Restaurant,"Fast Food,Sandwich",-,350,Girgaum,,Mumbai
The Little Joint,Restaurant,Fast Food,2.9,400,Malad West,,Mumbai
Coastal Cafe,Restaurant,Seafood,2.9,500,Hiranandani Estate-- Thane West,,Mumbai
Bombay Chinese,Restaurant,"Chinese,Fast Food",3.0,400,Seawoods,,Mumbai
Bharat Lunch Home,Restaurant,"North Indian,Chinese,South Indian",3.4,300,Sion,,Mumbai
Hotel Laxmi Vilas,Restaurant,"Chinese,North Indian",3.2,300,Bhandup,,Mumbai
Lezwan Indo Arabic Kitchen,Restaurant,"North Indian,Arabian,Lebanese,Chinese",3.6,500,Jogeshwari,,Mumbai
Kitchen 24,Restaurant,"Chinese,North Indian",3.4,600,4 Bungalows,,Mumbai
Sindoor,Restaurant,"Chinese,Seafood,North Indian",3.7,500,Nerul,,Mumbai
Hotel Prasad International,Restaurant,"North Indian,Chinese",3.7,650,Mira Road,,Mumbai
Selfieccino,Restaurant,Cafe,3.8,600,Ghatkopar East,,Mumbai
Mirch Masala,Restaurant,"North Indian,Chinese,Mughlai",3.4,650,Dahisar West,,Mumbai
Rice N Spice,Restaurant,"North Indian,Chinese",2.8,600,Powai,,Mumbai
Ice Cream Works,Restaurant,Ice Cream,3.6,300,Kharghar,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
The Mumbai  katta,Restaurant,"Fast Food,South Indian",3.3,300,Thakur Mall-- Dahisar East,,Mumbai
Bade Bawarchi,Restaurant,North Indian,3.2,400,Parel,,Mumbai
Bharat Hotel,Restaurant,"North Indian,Chinese",3.4,300,Old Panvel,,Mumbai
Coastal Curry,Restaurant,"Mughlai,North Indian,Seafood,Chinese",3.4,550,Hotel Risshi Residency-- Kopar Khairane,,Mumbai
China Garden,Restaurant,Chinese,3.2,400,Wagle Estate-- Thane West,,Mumbai
Swagath Bageecha,Restaurant,"North Indian,Chinese",3.7,900,Marve,,Mumbai
Pappu Pizza,Restaurant,"Pizza,Fast Food",3.7,350,Mira Road,,Mumbai
Toss & Grill,Restaurant,"Lebanese,North Indian",3.7,650,Andheri Lokhandwala-- Andheri West,,Mumbai
Stella's Cuisine,Restaurant,"North Indian,Fast Food",3.5,250,Santacruz East,,Mumbai
Karma Snacks Corner,Restaurant,Fast Food,3.6,150,Naupada-- Thane West,,Mumbai
Meridian Ice Cream,Restaurant,"Ice Cream,Desserts",3.8,250,Matunga West,,Mumbai
Amba Bhavan,Restaurant,South Indian,3.9,200,Matunga East,,Mumbai
I Love Food,Restaurant,"Fast Food,Chinese",2.6,300,Matunga East,,Mumbai
Bikaner,Restaurant,"Street Food,Mithai",3.3,200,Kharghar,,Mumbai
Rahul Ice Cream & Fast Food Centre,Restaurant,"Fast Food,Desserts",3.5,250,Wagle Estate-- Thane West,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Lenin Pav Bhaji Center,Restaurant,"Street Food,Chinese",3.7,200,Marine Lines,,Mumbai
Shree Ram Sweets,Restaurant,"Desserts,Street Food",3.7,150,Borivali West,,Mumbai
New Modern Cafe,Restaurant,"North Indian,South Indian,Fast Food",3.4,350,Worli,,Mumbai
Pancharatna Restaurant,Restaurant,"North Indian,South Indian,Chinese,Fast Food,Beverages",2.5,500,Kopar Khairane,,Mumbai
Hegde's Jaya Prabha,Restaurant,"Chinese,North Indian,Mughlai",3.5,400,Malad East,,Mumbai
Abhiman Bar & Restaurant,Restaurant,"Chinese,Fast Food,North Indian,South Indian",3.7,450,Khopat-- Thane West,,Mumbai
Kwanz,Restaurant,"Chinese,Thai",3.5,800,Kandivali East,,Mumbai
Pooja Veg Diet,Restaurant,"North Indian,South Indian,Chinese,Street Food,Beverages",3.6,550,Parel,,Mumbai
Arasa,Restaurant,"North Indian,Chinese,South Indian,Street Food,Beverages",3.5,500,Near Andheri East Station,,Mumbai
The Khansaama,Restaurant,"Biryani,North Indian,Kebab,Mughlai",3.8,700,Oshiwara-- Andheri West,,Mumbai
Shree Rath,Restaurant,"South Indian,North Indian,Fast Food",3.7,400,Ambernath,,Mumbai
The Experience Restaurant,Restaurant,"North Indian,Chinese",2.7,600,Naupada-- Thane West,,Mumbai
Navarang Family Restaurant & Bar,Restaurant,"Chinese,North Indian",3.5,650,Mira Road,,Mumbai
Achija,Restaurant,"South Indian,Fast Food,Chinese,Beverages",3.4,500,Naupada-- Thane West,,Mumbai
Saibini Gomantak NXT,Restaurant,"North Indian,Seafood,Maharashtrian",3.3,400,Dadar Shivaji Park,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Siciliano,Restaurant,"Fast Food,Pizza",3.7,550,New Panvel,,Mumbai
Salt N Pepper,Restaurant,"Chinese,North Indian",3.3,500,Juhu,,Mumbai
Kkiran's,Restaurant,"Andhra,South Indian",3.5,600,Mira Road,,Mumbai
Sharma,Restaurant,"Chinese,Street Food,North Indian,South Indian",3.5,400,4 Bungalows,,Mumbai
Marutirao Misalwale,Restaurant,Street Food,3.6,200,Lower Parel,,Mumbai
Swad Veg Hub,Restaurant,"Street Food,Desserts",NEW,150,Mira Road,,Mumbai
Jhakas Restaurant,Restaurant,"Chinese,Mughlai,North Indian",3.3,600,Chembur,,Mumbai
Udupi Shree Krishna,Restaurant,"North Indian,South Indian",3.6,450,Azad Nagar,,Mumbai
Rasoi,Restaurant,"North Indian,Mughlai,Chinese",3.6,1300,Hotel Jawahar-- Ulhasnagar,,Mumbai
Shradda,Restaurant,"Chinese,North Indian",3.7,500,Kalwa,,Mumbai
La Broast Food,Restaurant,Fast Food,NEW,300,Grant Road,,Mumbai
The Momos Machine,Restaurant,Momos,NEW,100,Seawoods,,Mumbai
Janata Bakers,Restaurant,"Bakery,Desserts,Fast Food",3.7,300,Powai,,Mumbai
Amrapali,Restaurant,"Chinese,North Indian",3.8,600,Fort,,Mumbai
Lassi Te Parrontthe,Restaurant,"North Indian,Street Food",3.9,350,Carter Road-- Bandra West,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Royal,Restaurant,"North Indian,Chinese,Seafood",3.5,700,Chakala,,Mumbai
Sai Vijaydurg,Restaurant,"North Indian,Konkan",3.6,500,Khopat-- Thane West,,Mumbai
Sai Sannidhi Restaurant & Bar,Restaurant,"North Indian,Konkan",3.7,1000,Dahisar East,,Mumbai
Sanjay Lunch Home,Restaurant,"North Indian,Chinese,Mughlai",3.7,350,Vashi,,Mumbai
Friends Fast Food,Restaurant,"Chinese,North Indian,Seafood",2.9,400,Kandivali West,,Mumbai
Hotel Nityanand Lunch Home,Restaurant,"North Indian,Chinese,Malwani,Seafood",3.6,500,CBD-Belapur,,Mumbai
J.B. Dynasty,Restaurant,"Chinese,Seafood",3.7,750,Malad West,,Mumbai
RISO,Restaurant,"Italian,Mexican",3.9,1400,Lower Parel,,Mumbai
Ambika Lunch Home,Restaurant,"North Indian,Chinese,Malwani",3.5,400,Lower Parel,,Mumbai
Aishwarya Pure Veg,Restaurant,"North Indian,South Indian,Chinese",3.3,500,Kamothe,,Mumbai
Konkan Katta,Restaurant,"Seafood,Maharashtrian,Malwani",3.5,400,Mahakali,,Mumbai
Gina's Cakes,Restaurant,Bakery,3.5,450,Dombivali West,,Mumbai
Konkanastha Lunch Home,Restaurant,"Seafood,Malwani",3.5,400,Chakala,,Mumbai
Ellipsis Bakery,Restaurant,Bakery,3.8,400,Worli,,Mumbai
Usmaniya Hotel,Restaurant,Mughlai,3.2,600,Fort,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Sai Sannidhi Restaurant & Bar,Restaurant,"North Indian,Konkan",3.7,1000,Dahisar East,,Mumbai
Yankees Station,Restaurant,"Italian,Chinese,Continental,North Indian,Pizza",3.7,600,Chandivali,,Mumbai
Uncafe,Restaurant,"Cafe,Mexican,Lebanese,Italian",3.8,600,Sion,,Mumbai
Baba Food Inn,Restaurant,"Fast Food,North Indian,South Indian",3.9,250,Borivali West,,Mumbai
Konkan Katta,Restaurant,"Seafood,Maharashtrian,Malwani",3.5,400,Mahakali,,Mumbai
IndoChino,Restaurant,"Chinese,North Indian",3.3,400,Powai,,Mumbai
Pizza M & M International,Restaurant,"Pizza,Burger,Italian",3.6,500,Kharghar,,Mumbai
Modern Kitchen,Restaurant,North Indian,3.5,500,Ghodbunder Road,,Mumbai
Punjabi Thali & Combos,Restaurant,North Indian,3.1,400,Near Andheri East Station,,Mumbai
Cakes & Candies,Restaurant,"Bakery,Desserts",3.4,150,Kharghar,,Mumbai
Cafe Brosten,Restaurant,"Cafe,Fast Food,Italian,Beverages",3.9,400,Vasai,,Mumbai
Ketley Brews and Bites,Restaurant,"Fast Food,American,Continental,Momos,Beverages",3.7,300,Vasant Vihar-- Thane West,,Mumbai
Global Chinese,Restaurant,Chinese,3.3,400,Virar,,Mumbai
Aagri Mejwani Restaurant,Restaurant,"Chinese,North Indian",3.4,300,Nerul,,Mumbai
SMP Express,Restaurant,"North Indian,Chinese",3.6,350,Goregaon East,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Dadu's Aagri Swad,Restaurant,"North Indian,Chinese",3.5,300,Bhandup,,Mumbai
Saikrupa Udipi Veg Restaurant,Restaurant,"South Indian,North Indian,Biryani,Sandwich,Chinese,Beverages,Ice Cream",3.8,500,Dahisar East,,Mumbai
Usmaniya Hotel,Restaurant,Mughlai,3.2,600,Fort,,Mumbai
Gina's Cakes,Restaurant,Bakery,3.5,450,Dombivali West,,Mumbai
Konkanastha Lunch Home,Restaurant,"Seafood,Malwani",3.5,400,Chakala,,Mumbai
Ellipsis Bakery,Restaurant,Bakery,3.8,400,Worli,,Mumbai
Occasions Cakes and More,Restaurant,Bakery,3.3,300,Marol,,Mumbai
Natural Fresh Icecream Parlor,Restaurant,"Ice Cream,Desserts",3.5,200,Dombivali East,,Mumbai
Blue Bunny Ice Cream,Restaurant,"Ice Cream,Desserts,Beverages",3.4,300,Borivali West,,Mumbai
Indori  Chinese Corner,Restaurant,Chinese,3.3,150,Kamothe,,Mumbai
R.D's Corner,Restaurant,"Mithai,Street Food",3.2,200,Mira Road,,Mumbai
Milkbar,Restaurant,Beverages,3.3,200,Byculla,,Mumbai
Dakshin Rasoi,Restaurant,South Indian,3.5,500,Khopat-- Thane West,,Mumbai
Cafe Ballon D'OR,Restaurant,Fast Food,3.2,450,Seawoods Grand Central Mall-- Seawoods,,Mumbai
Hotel Deluxe,Restaurant,"North Indian,Mughlai,Chinese",2.9,500,Kharghar,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Mom's Kitchen,Restaurant,Biryani,NEW,300,Malad West,,Mumbai
Bingo Burger,Restaurant,"Burger,Fast Food",3.8,350,Bhayandar,,Mumbai
Sunday Treat,Restaurant,"Fast Food,South Indian,Chinese",3.8,450,Malad West,,Mumbai
Butter Chickenwala,Restaurant,"North Indian,Chinese,Biryani",4.7,1000,Powai,,Mumbai
Thug-Lyf,Restaurant,"Chinese,Continental,Finger Food,Pizza,Fast Food",4.0,1200,Kasarvadavli-- Thane West,,Mumbai
Viking Pizza,Restaurant,"Fast Food,Pizza,Salad,Beverages",4.2,600,Prabhadevi,,Mumbai
Cannon Pavbhaji & Snacks,Restaurant,"Street Food,Chinese,North Indian,Fast Food",3.7,400,Naupada-- Thane West,,Mumbai
Khan's,Restaurant,"Fast Food,Juices,Beverages,Pizza",3.8,300,Mumbai Central,,Mumbai
Eataeria,Restaurant,"Fast Food,Beverages",3.9,300,Carter Road-- Bandra West,,Mumbai
Sri Krishna,Restaurant,"South Indian,Fast Food,Pizza,North Indian",4.2,250,Grant Road,,Mumbai
B - 103,Restaurant,"Asian,Chinese,Continental,Goan,Italian,Desserts,Pizza",4.2,1800,Borivali West,,Mumbai
Smaaash,Restaurant,"Italian,Continental,Pizza,North Indian,Mexican",3.9,1300,Kamala Mills Compound,,Mumbai
Live It Up,Restaurant,"Continental,Seafood,Italian,North Indian",3.9,1000,Satra Plaza-- Vashi,,Mumbai
Bandra Hideout,Restaurant,"Mediterranean,Italian,European",NEW,2000,Khar,,Mumbai
Pal's Fish Corner,Restaurant,"North Indian,Mughlai,Seafood,Rolls",3.9,850,Linking Road-- Bandra West,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
King’s Palace,Restaurant,Chinese,3.4,600,Mira Road,,Mumbai
Tea Post,Restaurant,"Fast Food,Tea,Beverages",3.1,200,Kandivali East,,Mumbai
The Local Eatery House,Restaurant,"Chinese,North Indian",-,500,Khar,,Mumbai
Take-Away-Express,Restaurant,"North Indian,Chinese,Rolls,Wraps",NEW,400,Lower Parel,,Mumbai
Swad Restauarnt,Restaurant,"North Indian,Chinese",NEW,500,Ghansoli,,Mumbai
KD Garden Family Restaurant & Bar,Restaurant,"Chinese,Malwani,North Indian",3.6,600,Virar,,Mumbai
7 Swaad Food Corner,Restaurant,Chinese,-,450,Ghatkopar West,,Mumbai
New Lucky,Restaurant,"North Indian,Mughlai,Chinese",3.3,400,Santacruz East,,Mumbai
Krispy Tales,Restaurant,"Fast Food,Beverages",3.9,450,Vashi,,Mumbai
Burger Basement,Restaurant,"Burger,Fast Food",3.8,400,4 Bungalows,,Mumbai
Ambrosia's Kaka Kaki,Restaurant,"Fast Food,Biryani",4.2,400,Santacruz West,,Mumbai
Praja Kitchen,Restaurant,"North Indian,Chinese,Beverages",3.4,600,Vasant Vihar-- Thane West,,Mumbai
The Real Taste of Kathiyawad,Restaurant,Gujarati,3.7,350,Malad West,,Mumbai
Winking Monk,Restaurant,"Asian,Chinese",3.9,550,Virar,,Mumbai
The Bunker- Family Dining & Bar,Restaurant,"North Indian,Chinese,Biryani,Kebab",3.8,700,Virar,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Tastler Hotel,Restaurant,"Chinese,North Indian,Biryani,Pizza,Fast Food",3.3,300,Vikhroli,,Mumbai
Punjabi Rasoi,Restaurant,"North Indian,Chinese,Fast Food",2.8,550,Vasant Vihar-- Thane West,,Mumbai
Cilantro,Restaurant,"Italian,Chinese,North Indian",3.5,650,Kalyan,,Mumbai
Creme Je T’aime Cafe,Restaurant,"Italian,French,Bakery",3.6,800,Pali Hill-- Bandra West,,Mumbai
Kwality Wall's,Restaurant,"Ice Cream,Desserts",NEW,200,Near Andheri East Station,,Mumbai
Hasty Tasty,Restaurant,"Fast Food,Street Food",3.6,350,Kharghar,,Mumbai
SIRF 159,Restaurant,"Biryani,Chinese,North Indian",3.4,500,Goregaon West,,Mumbai
Agarwal Snacks & Fast Food,Restaurant,"Street Food,North Indian",3.6,250,Sion,,Mumbai
Al Baik- Al Brost,Restaurant,"Rolls,Sandwich,Fast Food,Beverages",3.7,400,Charni Road,,Mumbai
Frosty Farm,Restaurant,"Ice Cream,Desserts,Fast Food",3.6,400,Malad East,,Mumbai
The Chef King,Restaurant,Chinese,3.3,300,Kalyan,,Mumbai
Celebrations By Kilo,Restaurant,"North Indian,Chinese,Fast Food",4.3,500,Goregaon East,,Mumbai
Shalin,Restaurant,"Mughlai,Chinese,North Indian",3.7,500,Vashi,,Mumbai
New Food Junxion,Restaurant,"Chinese,North Indian,Fast Food",3.5,500,Mira Road,,Mumbai
RISO,Restaurant,"Italian,Mexican",3.9,1400,Lower Parel,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Neba- The Asian Cafe,Restaurant,"Chinese,Thai",NEW,400,Borivali East,,Mumbai
New Sansar,Restaurant,"North Indian,Chinese,Mughlai,Seafood",3.3,350,Marol,,Mumbai
China Town,Restaurant,Chinese,3.6,500,Mulund East,,Mumbai
Retro Cafe,Restaurant,"Chinese,Fast Food,Street Food,Beverages",4.1,600,CBD-Belapur,,Mumbai
Vintage Creams,Restaurant,"Desserts,Bakery",3.8,200,Ghatkopar East,,Mumbai
Pop & Roll,Restaurant,"Fast Food,Rolls",3.8,300,Sion,,Mumbai
Shree Manu Sagar,Restaurant,"North Indian,Chinese,Indian",3.3,300,Ghansoli,,Mumbai
Sunrise Restaurant,Restaurant,"North Indian,South Indian,Chinese",3.6,500,Mira Road,,Mumbai
Celebration,Restaurant,"Chinese,North Indian,Fast Food",3.2,500,Bhayandar,,Mumbai
Sai Vijaydurg,Restaurant,"North Indian,Konkan",3.6,500,Khopat-- Thane West,,Mumbai
Fit Food Company,Restaurant,"Burger,Continental,Healthy Food,Indian,Juices,Salad,Sandwich,Seafood",3.9,500,Vasant Vihar-- Thane West,,Mumbai
Veg Kitchen,Restaurant,"North Indian,Chinese,Biryani",3.5,350,Kurla,,Mumbai
Chapati Express,Restaurant,North Indian,3.1,250,Kandivali East,,Mumbai
Trendy Taste,Restaurant,Mithai,3.1,700,Vile Parle West,,Mumbai
Galaxy,Restaurant,"North Indian,Seafood,Chinese",3.3,600,Nalasopara,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Choice Bakers,Restaurant,"Bakery,Fast Food,Street Food",3.4,300,Marol,,Mumbai
Annapoorna Home Food,Restaurant,"Maharashtrian,North Indian",3.6,150,Nerul,,Mumbai
Anand Dosa,Restaurant,South Indian,3.7,150,Bandra Talao-- Bandra West,,Mumbai
Shyam Sunder Fast Food,Restaurant,Chinese,3.7,500,Azad Nagar,,Mumbai
Greens,Restaurant,"Fast Food,North Indian,South Indian",2.7,650,Borivali East,,Mumbai
Krishna Dining Bar,Restaurant,"North Indian,Chinese,Malwani,Mughlai,Fast Food",3.7,650,Mahakali,,Mumbai
Hotel Popular,Restaurant,"North Indian,Chinese,Biryani",3.6,550,Ghatkopar West,,Mumbai
Farhaad Restaurant,Restaurant,"Mughlai,Chinese",3.7,500,Versova-- Andheri West,,Mumbai
China Gardens,Restaurant,Chinese,3.3,550,Mumbra,,Mumbai
Visawa,Restaurant,"Chinese,North Indian,South Indian,Fast Food",3.5,500,Vashi,,Mumbai
Only Sheetal Dugdhalay,Restaurant,Mithai,3.5,200,Malad West,,Mumbai
Jalsa Hotel,Restaurant,Street Food,3.6,250,Girgaum,,Mumbai
Yummies,Restaurant,"North Indian,Chinese,Biryani",3.8,450,Carter Road-- Bandra West,,Mumbai
New Jai Hind,Restaurant,"North Indian,South Indian,Chinese",3.4,400,Mumbai CST Area,,Mumbai
Natura,Restaurant,Beverages,3.5,200,Kandivali East,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
The Grandma Bakrey,Restaurant,"Bakery,Desserts,Beverages,Ice Cream",3.0,300,Chembur,,Mumbai
Peter Cook Restaurant,Restaurant,"North Indian,Chinese",3.6,450,4 Bungalows,,Mumbai
Hotel Gopalashram,Restaurant,"Chinese,North Indian,Seafood",3.6,450,Wagle Estate-- Thane West,,Mumbai
Ashok Restaurant,Restaurant,"Chinese,Mughlai,North Indian,Seafood",3.8,700,Prabhadevi,,Mumbai
East Indian Fast Food,Restaurant,Chinese,3.5,400,Santacruz East,,Mumbai
Hotel Sarvoday,Restaurant,"Chinese,North Indian",3.5,300,Mahakali,,Mumbai
Daffodils Fast Food Inn,Restaurant,"North Indian,South Indian,Chinese",3.4,500,Vile Parle East,,Mumbai
Shalimar,Restaurant,"Fast Food,Pizza",3.6,300,Rassaz Shopping Mall-- Mira Road,,Mumbai
Dwarka Veg.,Restaurant,"Fast Food,South Indian",3.5,450,Fort,,Mumbai
Sujata Uphar Griha ( B Tambe),Restaurant,"Maharashtrian,Fast Food,Beverages",3.8,250,Girgaum,,Mumbai
Anna Leela,Restaurant,"North Indian,South Indian,Street Food,Chinese,Beverages",3.6,550,Mumbai Central,,Mumbai
Kebab & Biryani Station,Restaurant,"Biryani,Kebab",NEW,350,Bhandup,,Mumbai
F3 House Of Hunger,Restaurant,"Lebanese,Chinese",NEW,400,Kandivali West,,Mumbai
Great Punjab Fast Food Corner,Restaurant,"Pizza,Sandwich,Fast Food",NEW,300,Virar,,Mumbai
Dum Biryanis,Restaurant,Mughlai,-,300,Powai,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Dwarka Veg Rest-o-Bar,Restaurant,"North Indian,Chinese",3.5,1100,Borivali West,,Mumbai
Modern China,Restaurant,"Chinese,North Indian",NEW,400,Dombivali West,,Mumbai
Sai Sagar Veg Treat,Restaurant,"North Indian,South Indian,Chinese,Fast Food,Beverages",3.5,500,Kalyan,,Mumbai
Raj Karnav Hotel,Restaurant,"North Indian,Chinese",3.5,500,Virar,,Mumbai
Ganga - Paradise By Tunga,Restaurant,"Chinese,North Indian,South Indian,Fast Food",3.7,450,The Paradise by Tunga-- Mahakali,,Mumbai
Hotel Sadguru,Restaurant,"North Indian,Chinese,Seafood,Mughlai",3.2,500,Marol,,Mumbai
Wagh Bakri Tea Lounge,Restaurant,"Cafe,Tea,Desserts",3.7,600,Vile Parle East,,Mumbai
Pizzas Etc,Restaurant,"Pizza,Fast Food",3.7,600,Ghatkopar East,,Mumbai
New Super Sweets,Restaurant,"Bakery,Desserts",3.8,200,Andheri Lokhandwala-- Andheri West,,Mumbai
Gold Coin Restaurant & Bar,Restaurant,"North Indian,Chinese,South Indian,Continental",3.9,1000,Vasai,,Mumbai
Urban Juice Cafe,Restaurant,"Healthy Food,Juices",3.8,400,Vasai,,Mumbai
Dosa Attack,Restaurant,"South Indian,Chinese,Fast Food",3.0,350,Kharghar,,Mumbai
The Kitchen NX,Restaurant,"Biryani,Seafood,North Indian,Chinese",3.2,500,Ghatkopar West,,Mumbai
Green Beryl,Restaurant,"North Indian,Chinese,Fast Food",3.5,700,Mira Road,,Mumbai
Hotel Sunita,Restaurant,"North Indian,South Indian,Chinese",3.5,500,Marol,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Dakshin Rasoi,Restaurant,South Indian,3.8,400,Nariman Point,,Mumbai
P2 Pett Puja,Restaurant,"Chinese,South Indian,Street Food",3.7,300,Malad West,,Mumbai
Hop Box by Hopping Chef,Restaurant,"North Indian,Asian,Italian",2.9,700,Mahalaxmi,,Mumbai
4 Bro's Pizza,Restaurant,"Pizza,Fast Food",3.9,600,Kandivali East,,Mumbai
Bread's villa,Restaurant,Bakery,3.7,350,Byculla,,Mumbai
Shakes & Rolls,Restaurant,"Rolls,Beverages",3.3,300,Byculla,,Mumbai
Ratnagiri Katta,Restaurant,"North Indian,Chinese,Malwani",3.5,400,Dahisar West,,Mumbai
Momos Republic,Restaurant,"Fast Food,Momos",3.5,300,Majiwada-- Thane West,,Mumbai
Mi Bhandari Veg & Non Veg Restaurant,Restaurant,"Maharashtrian,North Indian,Chinese",3.3,800,Vasai,,Mumbai
Mummy's Kitchen,Restaurant,"North Indian,South Indian",2.8,200,Wagle Estate-- Thane West,,Mumbai
Mumbai Dreamz,Restaurant,"North Indian,Chinese,Fast Food,Kebab",3.7,800,Kandivali East,,Mumbai
Hotel Nimantran,Restaurant,"North Indian,Chinese,Mughlai",3.7,600,Kharghar,,Mumbai
Masalaesque,Restaurant,"Mughlai,North Indian,Biryani,Kebab",4.0,800,Colaba,,Mumbai
Grand Mookambika,Restaurant,"Chinese,Mughlai",3.8,800,Grand Mookambika-- Kopar Khairane,,Mumbai
Mer Konfekt,Restaurant,"Bakery,Desserts",3.4,300,Breach Candy,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Atharva' S Ckp Tadka,Restaurant,"North Indian,Malwani",3.7,400,Panch Pakhadi-- Thane West,,Mumbai
Kolhapuri Mirchi & Food Express,Restaurant,Fast Food,3.2,200,Bhandup,,Mumbai
Edwins,Restaurant,Beverages,3.4,250,Fort,,Mumbai
The Chatori Corner,Restaurant,Fast Food,3.6,300,Borivali West,,Mumbai
Swayampak Ghar,Restaurant,"Maharashtrian,North Indian",NEW,250,Wagle Estate-- Thane West,,Mumbai
Mum Bai Toei,Restaurant,"North Indian,Chinese,Fast Food",NEW,500,Ulwe,,Mumbai
Samosa Express,Restaurant,"Fast Food,Street Food",3.0,200,Kopar Khairane,,Mumbai
